      x         z         s
    2.0101    5.4408    1.0510
    4.4221    3.5244    0.5153
    5.4271    3.2106    1.7821
   10.0503    3.2243    1.4580
   12.4623    3.0545    0.9957
   15.2764    2.9149    1.8077
   18.2915    7.1710    0.1985
   21.5075    6.8280    0.4033
   21.5075    8.0054    1.9515
   22.1106    8.9331    2.2000
   22.5126    7.6293    1.7666
   24.7236    4.9180    0.6356
   27.3367    4.5575    0.5753
   31.5578    5.1572    0.0163
   32.5628    4.5839    1.4368
   33.3668    6.5302    1.8263
   33.7688    6.2117    1.6939
   34.1709    7.4384    0.0629
   35.3769    8.1568    1.9824
   37.3869    9.6083    1.9700

